gap_count,max_gap,mean_gap,1_hour,2_to_6,7_to_24,over_24,station_name,variable
81,2136,39.84,41,23,12,5,"Arumbakkam, Chennai - TNPCB",pm25
94,2136,30.93,47,23,18,6,"Arumbakkam, Chennai - TNPCB",pm10
89,2137,31.69,46,23,16,4,"Arumbakkam, Chennai - TNPCB",temperature
90,2137,31.41,46,23,17,4,"Arumbakkam, Chennai - TNPCB",relativehumidity
108,2207,39.06,42,27,24,15,"Arumbakkam, Chennai - TNPCB",wind_direction
88,2187,33.17,44,23,16,5,"Arumbakkam, Chennai - TNPCB",wind_speed
129,242,7.11,66,34,25,4,"Manali Village, Chennai - TNPCB",pm25
129,242,7.1,66,34,25,4,"Manali Village, Chennai - TNPCB",pm10
129,242,7.1,66,34,25,4,"Manali Village, Chennai - TNPCB",temperature
129,242,7.1,66,34,25,4,"Manali Village, Chennai - TNPCB",relativehumidity
129,242,7.1,66,34,25,4,"Manali Village, Chennai - TNPCB",wind_direction
129,242,7.1,66,34,25,4,"Manali Village, Chennai - TNPCB",wind_speed
142,284,9.88,63,45,22,12,"Manali, Chennai - CPCB",pm25
165,284,8.75,73,58,22,12,"Manali, Chennai - CPCB",pm10
140,284,9.96,63,43,22,12,"Manali, Chennai - CPCB",temperature
144,284,9.78,64,46,22,12,"Manali, Chennai - CPCB",relativehumidity
140,284,9.96,63,43,22,12,"Manali, Chennai - CPCB",wind_direction
140,284,9.96,63,43,22,12,"Manali, Chennai - CPCB",wind_speed
134,242,6.9,66,41,22,5,"Perungudi, Chennai - TNPCB",pm25
131,242,6.94,65,40,21,5,"Perungudi, Chennai - TNPCB",pm10
125,242,7.2,60,39,21,5,"Perungudi, Chennai - TNPCB",temperature
108,749,16.4,51,34,15,8,"Perungudi, Chennai - TNPCB",relativehumidity
106,968,16.73,51,34,15,6,"Perungudi, Chennai - TNPCB",wind_direction
155,242,8.26,57,37,56,5,"Perungudi, Chennai - TNPCB",wind_speed
144,679,14.49,64,39,31,10,"Royapuram, Chennai - TNPCB",pm25
129,678,15.59,54,35,31,9,"Royapuram, Chennai - TNPCB",pm10
126,651,15.51,55,33,28,10,"Royapuram, Chennai - TNPCB",temperature
126,651,15.51,55,33,28,10,"Royapuram, Chennai - TNPCB",relativehumidity
126,651,15.51,55,33,28,10,"Royapuram, Chennai - TNPCB",wind_direction
126,651,15.51,55,33,28,10,"Royapuram, Chennai - TNPCB",wind_speed
100,334,16.04,44,28,18,10,"Velachery Res. Area, Chennai - CPCB",pm25
100,334,16.05,44,28,18,10,"Velachery Res. Area, Chennai - CPCB",pm10
100,334,16.04,44,28,18,10,"Velachery Res. Area, Chennai - CPCB",temperature
148,334,12.74,57,41,40,10,"Velachery Res. Area, Chennai - CPCB",relativehumidity
100,334,16.04,44,28,18,10,"Velachery Res. Area, Chennai - CPCB",wind_direction
101,334,15.89,45,28,18,10,"Velachery Res. Area, Chennai - CPCB",wind_speed
